رتبه,بازیکن,باشگاه,گل
۱,تیری آنری,آرسنال,۲۷
۲,رود فن نیستلروی,منچستر یونایتد,۲۱
۳,دارن بنت,چارلتون اتلتیک,۱۸
۴,رابی کین,تاتنهام,۱۶
۴,فرانک لمپارد,چلسی,۱۶
۴,وین رونی,منچستر یونایتد,۱۶
۷,مارلون هاروود,وستهام,۱۴
۸,کرگ بلیمی,بلکبرن,۱۳
۸,یاکوبو آییگبانی,میدلزبورو,۱۳
۱۰,هنری کامارا,ویگان,۱۲
۱۰,دیدیه دروگبا,چلسی,۱۲
