Rank,Player,Club,Assists[23]
1,David Beckham,Manchester United,12
2,Nolberto Solano,Newcastle United,10
3,Jimmy Floyd Hasselbaink,Chelsea,9
3,Thierry Henry,Arsenal,9
3,Vladimír Šmicer,Liverpool,9
6,Ryan Giggs,Manchester United,8
6,Graham Stuart,Charlton Athletic,8
8,Stephen Clemence,Tottenham Hotspur,7
8,Paolo Di Canio,West Ham United,7
8,Hassan Kachloul,Southampton,7
