رتبه,بازیکن,باشگاه,گل
۱,دیدیه دروگبا,چلسی,۲۰
۲,بنی مک‌کارتی,بلکبرن,۱۸
۳,کریستیانو رونالدو,منچستر یونایتد,۱۷
۴,وین رونی,منچستر یونایتد,۱۴
۴,مارک ویدوکا,میدلزبورو,۱۴
۶,دارن بنت,چارلتون,۱۳
۶,کوین دویل,ردینگ,۱۳
۸,دیمیتار برباتوف,تاتنهام,۱۲
۸,درک کویت,لیورپول,۱۲
۸,یاکوبو آییگبنی,میدلزبورو,۱۲
