رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال منچستر یونایتد (C),۳۸,۲۸,۵,۵,۸۳,۲۷,۵۶+,۸۹,Qualification for the Champions League group stage
۲,باشگاه فوتبال چلسی,۳۸,۲۴,۱۱,۳,۶۴,۲۴,۴۰+,۸۳,Qualification for the Champions League group stage
۳,باشگاه فوتبال لیورپول,۳۸,۲۰,۸,۱۰,۵۷,۲۷,۳۰+,۶۸,Qualification for the Champions League third qualifying round
۴,باشگاه فوتبال آرسنال,۳۸,۱۹,۱۱,۸,۶۳,۳۵,۲۸+,۶۸,Qualification for the Champions League third qualifying round
۵,باشگاه فوتبال تاتنهام هاتسپر,۳۸,۱۷,۹,۱۲,۵۷,۵۴,۳+,۶۰,Qualification for the UEFA Cup first round[a]
۶,باشگاه فوتبال اورتون,۳۸,۱۵,۱۳,۱۰,۵۲,۳۶,۱۶+,۵۸,Qualification for the UEFA Cup first round[a]
۷,باشگاه فوتبال بولتون واندررز,۳۸,۱۶,۸,۱۴,۴۷,۵۲,۵−,۵۶,Qualification for the UEFA Cup first round[a]
۸,باشگاه فوتبال ردینگ,۳۸,۱۶,۷,۱۵,۵۲,۴۷,۵+,۵۵,
۹,باشگاه فوتبال پورتسموث,۳۸,۱۴,۱۲,۱۲,۴۵,۴۲,۳+,۵۴,
۱۰,باشگاه فوتبال بلکبرن روورز,۳۸,۱۵,۷,۱۶,۵۲,۵۴,۲−,۵۲,Qualification for the Intertoto Cup third round[b]
۱۱,باشگاه فوتبال استون ویلا,۳۸,۱۱,۱۷,۱۰,۴۳,۴۱,۲+,۵۰,
۱۲,باشگاه فوتبال میدلزبرو,۳۸,۱۲,۱۰,۱۶,۴۴,۴۹,۵−,۴۶,
۱۳,باشگاه فوتبال نیوکاسل یونایتد,۳۸,۱۱,۱۰,۱۷,۳۸,۴۷,۹−,۴۳,
۱۴,باشگاه فوتبال منچستر سیتی,۳۸,۱۱,۹,۱۸,۲۹,۴۴,۱۵−,۴۲,
۱۵,باشگاه فوتبال وستهام یونایتد,۳۸,۱۲,۵,۲۱,۳۵,۵۹,۲۴−,۴۱,
۱۶,باشگاه فوتبال فولام,۳۸,۸,۱۵,۱۵,۳۸,۶۰,۲۲−,۳۹,
۱۷,باشگاه فوتبال ویگان اتلتیک,۳۸,۱۰,۸,۲۰,۳۷,۵۹,۲۲−,۳۸,
۱۸,باشگاه فوتبال شفیلد یونایتد (R),۳۸,۱۰,۸,۲۰,۳۲,۵۵,۲۳−,۳۸,Relegation to the Football League Championship
۱۹,باشگاه فوتبال چارلتون اتلتیک (R),۳۸,۸,۱۰,۲۰,۳۴,۶۰,۲۶−,۳۴,Relegation to the Football League Championship
۲۰,باشگاه فوتبال واتفورد (R),۳۸,۵,۱۳,۲۰,۲۹,۵۹,۳۰−,۲۸,Relegation to the Football League Championship
