Award,Winner,Club
Premier League Manager of the Season,Antonio Conte[144],Chelsea
Premier League Player of the Season,N'Golo Kanté[145],Chelsea
Premier League Goal of the Season,Emre Can[146],Liverpool
PFA Players' Player of the Year,N'Golo Kanté[147],Chelsea
PFA Young Player of the Year,Dele Alli[148],Tottenham Hotspur
FWA Footballer of the Year,N'Golo Kanté[149],Chelsea
