رتبه,تیم,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال منچسترسیتی (C),۳۸,۲۸,۷,۳,۹۶,۳۴,۶۲+,۹۱,راهیابی به لیگ قهرمانان اروپا
۲,باشگاه فوتبال آرسنال,۳۸,۲۸,۵,۵,۹۱,۲۹,۶۲+,۸۹,راهیابی به لیگ قهرمانان اروپا
۳,باشگاه فوتبال لیورپول,۳۸,۲۴,۱۰,۴,۸۶,۴۱,۴۵+,۸۲,راهیابی به لیگ قهرمانان اروپا
۴,باشگاه فوتبال استون ویلا,۳۸,۲۰,۸,۱۰,۷۶,۶۱,۱۵+,۶۸,راهیابی به لیگ قهرمانان اروپا
۵,باشگاه فوتبال تاتنهام,۳۸,۲۰,۶,۱۲,۷۴,۶۱,۱۳+,۶۶,راهیابی به لیگ اروپا
۶,باشگاه فوتبال چلسی,۳۸,۱۸,۹,۱۱,۷۷,۶۳,۱۴+,۶۳,جواد حضور در مرحله پلی آف لیگ کنفرانس اروپا
۷,باشگاه فوتبال نیوکاسل,۳۸,۱۸,۶,۱۴,۸۵,۶۲,۲۳+,۶۰,
۸,باشگاه فوتبال منچستر یونایتد,۳۸,۱۸,۶,۱۴,۵۷,۵۸,۱−,۶۰,راهیابی به لیگ اروپا
۹,باشگاه فوتبال وستهام یونایتد,۳۸,۱۴,۱۰,۱۴,۶۰,۷۴,۱۴−,۵۲,
۱۰,باشگاه فوتبال کریستال پالاس,۳۸,۱۳,۱۰,۱۵,۵۷,۵۸,۱−,۴۹,
۱۱,باشگاه فوتبال برایتون اند هوو آلبیون,۳۸,۱۲,۱۲,۱۴,۵۵,۶۲,۷−,۴۸,
۱۲,باشگاه فوتبال بورنموث,۳۸,۱۳,۹,۱۶,۵۴,۶۷,۱۳−,۴۸,
۱۳,باشگاه فوتبال فولام,۳۸,۱۳,۸,۱۷,۵۵,۶۱,۶−,۴۷,
۱۴,باشگاه فوتبال ولورهمپتون,۳۸,۱۳,۷,۱۸,۵۰,۶۵,۱۵−,۴۶,
۱۵,باشگاه فوتبال اورتون,۳۸,۱۳,۹,۱۶,۴۰,۵۱,۱۱−,۴۸,
۱۶,باشگاه فوتبال برنتفورد,۳۸,۱۰,۹,۱۹,۵۶,۶۵,۹−,۳۹,
۱۷,باشگاه فوتبال ناتینگهام فارست,۳۸,۹,۹,۲۰,۴۹,۶۷,۱۸−,۳۶,
۱۸,باشگاه فوتبال لوتون تاون (R),۳۸,۶,۸,۲۴,۵۲,۸۵,۳۳−,۲۶,سقوط به چمپیونشیپ
۱۹,باشگاه فوتبال برنلی (R),۳۸,۵,۹,۲۴,۴۱,۷۸,۳۷−,۲۴,سقوط به چمپیونشیپ
۲۰,باشگاه فوتبال شفیلد یونایتد (R),۳۸,۳,۷,۲۸,۳۵,۱۰۴,۶۹−,۱۶,سقوط به چمپیونشیپ
