Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Everton,David Moyes,End of contract,19 May 2013[52],Pre-season,Roberto Martínez,5 June 2013[53]
Manchester City,Brian Kidd (caretaker),End of caretaker spell,19 May 2013,Pre-season,Manuel Pellegrini,14 June 2013[54]
Stoke City,Tony Pulis,Mutual consent,21 May 2013[55],Pre-season,Mark Hughes,30 May 2013[56]
Chelsea,Rafael Benítez,End of contract,27 May 2013[57],Pre-season,José Mourinho,3 June 2013[58]
Manchester United,Alex Ferguson,Retired,1 July 2013[59],Pre-season,David Moyes,1 July 2013[60]
Sunderland,Paolo Di Canio,Sacked,22 September 2013[61],20th,Gus Poyet,8 October 2013[62]
Crystal Palace,Ian Holloway,Mutual consent,23 October 2013[63],19th,Tony Pulis,23 November 2013[64]
Fulham,Martin Jol,Sacked,1 December 2013[65],18th,René Meulensteen,1 December 2013[65]
West Bromwich Albion,Steve Clarke,Sacked,14 December 2013[66],16th,Pepe Mel,9 January 2014[67]
Tottenham Hotspur,André Villas-Boas,Mutual consent[68],16 December 2013[69],7th,Tim Sherwood,16 December 2013[70]
Cardiff City,Malky Mackay,Sacked,27 December 2013[71],16th,Ole Gunnar Solskjær,2 January 2014[72]
Swansea City,Michael Laudrup,Sacked,4 February 2014[73],12th,Garry Monk,4 February 2014[73]
Fulham,René Meulensteen,Sacked,14 February 2014[74],20th,Felix Magath,14 February 2014[74]
Norwich City,Chris Hughton,Sacked,6 April 2014[75],17th,Neil Adams,6 April 2014
Manchester United,David Moyes,Sacked,22 April 2014[76],7th,Ryan Giggs (interim player-manager),22 April 2014[77]
Manchester United,Ryan Giggs,End of caretaker spell,19 May 2014[78],7th,Louis van Gaal,19 May 2014[78]
