PFA Team of the Year[102],PFA Team of the Year[102].1,PFA Team of the Year[102].2,PFA Team of the Year[102].3,PFA Team of the Year[102].4,PFA Team of the Year[102].5,PFA Team of the Year[102].6,PFA Team of the Year[102].7,PFA Team of the Year[102].8,PFA Team of the Year[102].9,PFA Team of the Year[102].10,PFA Team of the Year[102].11,Unnamed: 12
Goalkeeper,Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea),Petr Čech (Chelsea)
Defenders,Séamus Coleman (Everton),Séamus Coleman (Everton),Séamus Coleman (Everton),Gary Cahill (Chelsea),Gary Cahill (Chelsea),Gary Cahill (Chelsea),Vincent Kompany (Manchester City),Vincent Kompany (Manchester City),Vincent Kompany (Manchester City),Luke Shaw (Southampton),Luke Shaw (Southampton),Luke Shaw (Southampton)
Midfielders,Steven Gerrard (Liverpool),Steven Gerrard (Liverpool),Steven Gerrard (Liverpool),Adam Lallana (Southampton),Adam Lallana (Southampton),Adam Lallana (Southampton),Yaya Touré (Manchester City),Yaya Touré (Manchester City),Yaya Touré (Manchester City),Eden Hazard (Chelsea),Eden Hazard (Chelsea),Eden Hazard (Chelsea)
Forwards,Luis Suárez (Liverpool),Luis Suárez (Liverpool),Luis Suárez (Liverpool),Luis Suárez (Liverpool),Luis Suárez (Liverpool),Luis Suárez (Liverpool),Daniel Sturridge (Liverpool),Daniel Sturridge (Liverpool),Daniel Sturridge (Liverpool),Daniel Sturridge (Liverpool),Daniel Sturridge (Liverpool),Daniel Sturridge (Liverpool)
