Rank,Player,Club,Goals[1]
1,Luis Suárez,Liverpool,31
2,Daniel Sturridge,Liverpool,21
3,Yaya Touré,Manchester City,20
4,Sergio Agüero,Manchester City,17
4,Wayne Rooney,Manchester United,17
6,Wilfried Bony,Swansea City,16
6,Edin Džeko,Manchester City,16
6,Olivier Giroud,Arsenal,16
9,Romelu Lukaku,Everton,15
9,Jay Rodriguez,Southampton,15
