Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month,Reference
Month,Manager,Club,Player,Club,Reference
August,Brendan Rodgers,Liverpool,Daniel Sturridge,Liverpool,[90]
September,Arsène Wenger,Arsenal,Aaron Ramsey,Arsenal,[91]
October,Mauricio Pochettino,Southampton,Sergio Agüero,Manchester City,[92]
November,Alan Pardew,Newcastle United,Tim Krul,Newcastle United,[93]
December,Manuel Pellegrini,Manchester City,Luis Suárez,Liverpool,[94]
January,Manuel Pellegrini,Manchester City,Adam Johnson,Sunderland,[95]
February,Sam Allardyce,West Ham United,Daniel Sturridge,Liverpool,[96]
March,Brendan Rodgers,Liverpool,Luis Suárez & Steven Gerrard (shared),Liverpool,[97]
April,Tony Pulis,Crystal Palace,Connor Wickham,Sunderland,[98]
