Rank,Player,Club,Clean sheets[2]
1,Petr Čech,Chelsea,16
1,Wojciech Szczęsny,Arsenal,16
3,Tim Howard,Everton,15
4,Artur Boruc,Southampton,14
4,Hugo Lloris,Tottenham Hotspur,14
6,Joe Hart,Manchester City,13
7,David de Gea,Manchester United,12
7,John Ruddy,Norwich City,12
7,Julián Speroni,Crystal Palace,12
10,Vito Mannone,Sunderland,11
