رتبه,بازیکن,باشگاه,گل
۱,کریستیانو رونالدو,منچستر یونایتد,۳۱
۲,فرناندو تورس,لیورپول,۲۴
۲,امانوئل آدبایور,آرسنال,۲۴
۴,روکه سانتا کروز,بلکبرن,۱۹
۵,بنجانی موارواری,پورتسموث / منچستر سیتی,۱۵
۵,دیمیتار برباتوف,تاتنهام,۱۵
۵,رابی کین,تاتنهام,۱۵
۵,یاکوبو آییگبنی,اورتون,۱۵
۹,کارلوس توس,منچستر یونایتد,۱۴
۱۰,جان کریو,استون ویلا,۱۳
