Scorer,Time (seconds),Team,Opponent
Geovanni,28,Manchester City,Wigan Athletic
Cameron Jerome,32,Birmingham City,Derby County
Yakubu,47,Everton,Portsmouth
David Healy,50,Fulham,Arsenal
