Player,For,Against,Result,Date,Ref
Michael Bridges,Leeds United,Southampton,3–0 (A),11 August 1999,[7]
Andy Cole4,Manchester United,Newcastle United,5–1 (H),30 August 1999,[8]
Kevin Phillips,Sunderland,Derby County,5–0 (A),18 September 1999,[9]
Alan Shearer5,Newcastle United,Sheffield Wednesday,8–0 (H),19 September 1999,[10]
Nwankwo Kanu,Arsenal,Chelsea,3–2 (A),23 October 1999,[11]
Marc Overmars,Arsenal,Middlesbrough,5–1 (H),21 November 1999,[12]
Ole Gunnar Solskjær4 P,Manchester United,Everton,5–1 (H),4 December 1999,[13]
Nick Barmby,Everton,West Ham United,4–0 (A),26 February 2000,[14]
Stan Collymore,Leicester City,Sunderland,5–2 (H),5 March 2000,[15]
Steffen Iversen,Tottenham Hotspur,Southampton,7–2 (H),11 March 2000,[16]
Dwight Yorke,Manchester United,Derby County,3–1 (H),11 March 2000,[17]
Paul Scholes,Manchester United,West Ham United,7–1 (H),1 April 2000,[18]
Dean Windass,Bradford City,Derby County,4–4 (H),21 April 2000,[19]
