Rank,Player,Club,Assists[20]
1,David Beckham,Manchester United,15
1,Nolberto Solano,Newcastle United,15
3,Paolo Di Canio,West Ham United,13
4,Ryan Giggs,Manchester United,12
5,Dennis Bergkamp,Arsenal,9
6,Nick Barmby,Everton,8
6,Thierry Henry,Arsenal,8
6,Steffen Iversen,Tottenham Hotspur,8
6,Wim Jonk,Sheffield Wednesday,8
6,Paul Merson,Aston Villa,8
