PFA Team of the Year[213],PFA Team of the Year[213].1,PFA Team of the Year[213].2,PFA Team of the Year[213].3,PFA Team of the Year[213].4,PFA Team of the Year[213].5,PFA Team of the Year[213].6,PFA Team of the Year[213].7,PFA Team of the Year[213].8,PFA Team of the Year[213].9,PFA Team of the Year[213].10,PFA Team of the Year[213].11,PFA Team of the Year[213].12
Goalkeeper,David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal),David Raya (Arsenal)
Defenders,Kyle Walker (Manchester City),Kyle Walker (Manchester City),Kyle Walker (Manchester City),Gabriel (Arsenal),Gabriel (Arsenal),Gabriel (Arsenal),Virgil van Dijk (Liverpool),Virgil van Dijk (Liverpool),Virgil van Dijk (Liverpool),William Saliba (Arsenal),William Saliba (Arsenal),William Saliba (Arsenal)
Midfielders,Martin Ødegaard (Arsenal),Martin Ødegaard (Arsenal),Martin Ødegaard (Arsenal),Martin Ødegaard (Arsenal),Declan Rice (Arsenal),Declan Rice (Arsenal),Declan Rice (Arsenal),Declan Rice (Arsenal),Rodri (Manchester City),Rodri (Manchester City),Rodri (Manchester City),Rodri (Manchester City)
Forwards,Ollie Watkins (Aston Villa),Ollie Watkins (Aston Villa),Ollie Watkins (Aston Villa),Ollie Watkins (Aston Villa),Erling Haaland (Manchester City),Erling Haaland (Manchester City),Erling Haaland (Manchester City),Erling Haaland (Manchester City),Phil Foden (Manchester City),Phil Foden (Manchester City),Phil Foden (Manchester City),Phil Foden (Manchester City)
,,,,,,,,,,,,
